Connected to DESKTOP-G71MS8M
Request to change PHY
Request to change connection params
28110404-8388608, 0, 0, -8388608, -8388608, 0, 34944, 37376, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608
28112786-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, 39296, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8388481
28115166-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28117163-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, 39296, 41088, 46208, 51584, 54400, -8388608, 8388607, 8388479, -25985, -24448, 46208, 51584, 54400, 57728
28119531-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, 39296, 41088, 46208, 51584, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 39296, 41088, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607
28121912-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388480, 39296, 41088, 46208, 51584, 54400, 57728, -8388608, -8388608, -8388608, 39296, 41088, 46208, 51584, 54400, 57728, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28123898-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28125881-8388608, -8388608, 8388607, -8388608, -8388608, -8353664, 39296, 42623, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8352129
28128261-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28130245-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388480, 39296, 41088, 46208, 51584, 54400, 57728, -8388608, -8388608, -8388608, 39296, 41088, 46208, 51584, 54400, 57728, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28132230-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608
28352087-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8352129, -25985
28354455-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28356439-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28358423-8388608, -8388608, 8388607, -8388608, -8388608, -8388480, 39296, 42623, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388480, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, 8388607
28360804-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
28362788-8388608, -8388608, 8388607, -8388608, -8388608, -8388608, -8353664, 39296, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, 8388607, 8388607, -8388608, -8388608, -8388608
