584401,-8388608,0,0,-8388608,0,0,0,0
585195,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
585989,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
586782,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
587576,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
588389,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
589163,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
589957,-8388608,-8388608,-8388608,-8388608,-8388608,2477782,2281433,-2279529
590752,-8388608,-8388608,-8388608,-8388608,4775977,8106212,8082790,7606620
591544,-8388608,-8388608,-8388608,-8388608,7841595,7006024,5968390,1662985
592338,-8388608,-8388608,-8388608,-8388608,-1686418,-4347938,-8388608,-8388608
593132,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
593925,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
594719,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
595513,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
596306,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
597100,-8388608,-8388608,-8388608,-5384063,-8388608,-8388608,-8388608,-8388608
597894,-8388608,-8388608,-4538035,368855,-8388608,-8388608,-8388608,-8388608
598687,-8388608,-8388608,-1153775,2608876,-8388608,-8388608,-8388608,-8388608
599481,-8388608,-8388608,4096,0,-8388608,-8388608,-8388608,-8388608
600276,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
601070,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
601863,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
602657,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
603449,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
604252,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
605037,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
605831,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
606624,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
607417,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
608211,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
609011,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608,-8388608
609799,-8388608,-8388608,-8388608,-8388608,-8388608,-868617,-1101288,-5824862
610592,-8388608,-8388608,-8388608,-8388608,1942645,8195613,8169202,7146355
