Connected to DESKTOP-G71MS8M
Request to change PHY
Request to change connection params
56299257-8388608, 0, 0, -1435578, -1522413, 0, -8388608, 2380215, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8384897, -25985, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, 8388607, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607
56301651-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, -8388608, 8388607, 8388479, -25985, -22913, -18561, -12417, -10369, -7808, 8388607, -8388608, -8388480, 39296, 41088, 46208, 51584, 54400, 57728, 8388607, -8388608, -8388593, -27264, 41088, 46208, 53119, -10369
56303621-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 7340032, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56305606-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 7340032, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607
56307987-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388480, 39296, 8359551, -27264, 41088, 46208, 53119, -10369, -1, -8388608
56310368-8388608, 8388607, -8388608, 8388607, 8388607, 8388480, 38527, -24448, 8388607, 8388607, 8388607, 8388607, 8388607, 8359551, -25985, -22913, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, 39296, 41088, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, -8388608
56312749-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8257537, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56315140-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, -8388608, 8388607, 8359551, -25985, -22913, -18561, -12417, -10369, -7808, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, -8353664, 39296, 41088, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607, -8388608
56317511-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56319495-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56321479-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 7340032, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8359551, -25985, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, -8386432, 8388607, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607
56552435-8388608, 8388607, -8388608, 8388607, 8358016, 38527, -24448, 47999, 8388607, 8388607, 8388607, 8388607, 8388607, 8384127, -25985, -22913, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8386432, 39296, 8388607, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607, 8388479
56554815-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, -8388608, 8388479, -27264
56557196-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56559181-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56561165-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 7340032, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8386432, 8388607, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607
56563546-8388608, 8388607, -8388608, 8388607, 8388607, 7340032, 8388607, -8388608, 8388607, 8388607, 8388607, 8388607, 8359551, -25985, -22913, -18561, -8388608, -8388608, -8388608, -8388608, 8388607, -8353664, 39296, 41088, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607, 8388223, -27264
56565928-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 4194304, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8286593, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56567911-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 7340032, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56570292-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8388608, 8388607, -8126465, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607
56795692-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, -8388608, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, 8388607, -8353664, 39296, 41088, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607, -8388608, -8388608
56798073-8388608, 8388607, -8388608, 8388607, 8388592, 38527, -24448, 47999, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8388608, -8388608, -8388608, -8388608, 8388480, 39296, 41088, 46208, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56800454-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56802835-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388223, -25985, -22913, -18561, -12417, -10369, -7808, 8388607, -8388480, 39296, 41088, 46208, 53119, -8388608, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607, 8388607, -8388608
56805216-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56807200-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 4194304, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8126465, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
56809184-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 7340032, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8387969, -25985, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8388480, 8388607, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607
56811682-8388608, 8388607, -8388608, 8388607, 8358016, 38527, -24448, 47999, 8388607, 8388607, 8388607, 8388607, 8388607, 8359551, -25985, -22913, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, -8386432, 39296, 8388607, 8388607, -8388608, -8388608, -8388608, 8388607, 8388607, 8388223
56813946-8388608, 8388607, -8388608, 8388607, 8388607, 8388607, 6291456, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, 8388607, -8352129, -8388608, -8388608, -8388608, -8388608, -8388608, -8388608, 8388607, -8388608, 8388607, -8388608, -8388608, 8388607, -8388608, -8388608, -8388608, 8388607
